"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite 1","TestCase 2 GetAndUpdateUsingGroovyScript","Listusers","restrequest","OK","","22-Sep-2020 11_39",
"TestSuite 1","TestCase 2 GetAndUpdateUsingGroovyScript","Groovy Script","groovy","OK","","22-Sep-2020 11_39",
"TestSuite 1","TestCase 2 GetAndUpdateUsingGroovyScript","MyProperties","properties","OK","","22-Sep-2020 11_39",
"TestSuite 1","TestCase 2 GetAndUpdateUsingGroovyScript","UpdateUser","restrequest","OK","","22-Sep-2020 11_39",
