"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite withValidData","TestCase withChainingForAllOperations","Add","request","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertyDivideNum2","properties","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","Property Transfer FromAddResponseToDivideNum1","transfer","OK","Message:Performed transfer [DivideNum1]
","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","Divide","request","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertiesMultiplyInputChaining","properties","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","Groovy Script ToGetSetProperty","groovy","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","Multiply","request","OK","","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","XMLParsing using Groovy Script","groovy","OK","Message:Script-result: com.eviware.soapui.impl.wsdl.teststeps.WsdlTestRequestStepResult@38be8e49
","22-Sep-2020 10_41",
"TestSuite withValidData","TestCase withChainingForAllOperations","Subtract","request","OK","","22-Sep-2020 10_41",
